"","protein_group","gene","uniprot","n_peptides"
"IGLC1",">sp|B9A064|IGLL5_HUMAN Immunoglobulin lambda-like polypeptide 5 OS=Homo sapiens GN=IGLL5 PE=2 SV=2;>sp|P0CG04|LAC1_HUMAN Ig lambda-1 chain C regions OS=Homo sapiens GN=IGLC1 PE=1 SV=1","IGLC1","B9A064",5
"QSOX1",">sp|O00391|QSOX1_HUMAN Sulfhydryl oxidase 1 OS=Homo sapiens GN=QSOX1 PE=1 SV=3","QSOX1","O00391",12
"CHL1",">sp|O00533|CHL1_HUMAN Neural cell adhesion molecule L1-like protein OS=Homo sapiens GN=CHL1 PE=1 SV=4","CHL1","O00533",4
"NRP1",">sp|O14786|NRP1_HUMAN Neuropilin-1 OS=Homo sapiens GN=NRP1 PE=1 SV=3","NRP1","O14786",3
"APOL1",">sp|O14791|APOL1_HUMAN Apolipoprotein L1 OS=Homo sapiens GN=APOL1 PE=1 SV=5","APOL1","O14791",8
"CD5L",">sp|O43866|CD5L_HUMAN CD5 antigen-like OS=Homo sapiens GN=CD5L PE=1 SV=1","CD5L","O43866",13
"FCGR3B",">sp|O75015|FCG3B_HUMAN Low affinity immunoglobulin gamma Fc region receptor III-B OS=Homo sapiens GN=FCGR3B PE=1 SV=2","FCGR3B","O75015",4
"FCN3",">sp|O75636|FCN3_HUMAN Ficolin-3 OS=Homo sapiens GN=FCN3 PE=1 SV=2","FCN3","O75636",9
"ATRN",">sp|O75882|ATRN_HUMAN Attractin OS=Homo sapiens GN=ATRN PE=1 SV=2","ATRN","O75882",20
"APOM",">sp|O95445|APOM_HUMAN Apolipoprotein M OS=Homo sapiens GN=APOM PE=1 SV=2","APOM","O95445",7
"VNN1",">sp|O95497|VNN1_HUMAN Pantetheinase OS=Homo sapiens GN=VNN1 PE=1 SV=2","VNN1","O95497",3
"CP",">sp|P00450|CERU_HUMAN Ceruloplasmin OS=Homo sapiens GN=CP PE=1 SV=1","CP","P00450",63
"F13A1",">sp|P00488|F13A_HUMAN Coagulation factor XIII A chain OS=Homo sapiens GN=F13A1 PE=1 SV=4","F13A1","P00488",2
"F2",">sp|P00734|THRB_HUMAN Prothrombin OS=Homo sapiens GN=F2 PE=1 SV=2","F2","P00734",32
"C1R",">sp|P00736|C1R_HUMAN Complement C1r subcomponent OS=Homo sapiens GN=C1R PE=1 SV=2","C1R","P00736",26
"HP",">sp|P00738|HPT_HUMAN Haptoglobin OS=Homo sapiens GN=HP PE=1 SV=1","HP","P00738",24
"HPR",">sp|P00739|HPTR_HUMAN Haptoglobin-related protein OS=Homo sapiens GN=HPR PE=1 SV=2","HPR","P00739",18
"F9",">sp|P00740|FA9_HUMAN Coagulation factor IX OS=Homo sapiens GN=F9 PE=1 SV=2","F9","P00740",12
"F10",">sp|P00742|FA10_HUMAN Coagulation factor X OS=Homo sapiens GN=F10 PE=1 SV=2","F10","P00742",11
"CFD",">sp|P00746|CFAD_HUMAN Complement factor D OS=Homo sapiens GN=CFD PE=1 SV=5","CFD","P00746",10
"PLG",">sp|P00747|PLMN_HUMAN Plasminogen OS=Homo sapiens GN=PLG PE=1 SV=2","PLG","P00747",52
"F12",">sp|P00748|FA12_HUMAN Coagulation factor XII OS=Homo sapiens GN=F12 PE=1 SV=3","F12","P00748",15
"CFB",">sp|P00751|CFAB_HUMAN Complement factor B OS=Homo sapiens GN=CFB PE=1 SV=2","CFB","P00751",43
"CA1",">sp|P00915|CAH1_HUMAN Carbonic anhydrase 1 OS=Homo sapiens GN=CA1 PE=1 SV=2","CA1","P00915",5
"CA2",">sp|P00918|CAH2_HUMAN Carbonic anhydrase 2 OS=Homo sapiens GN=CA2 PE=1 SV=2","CA2","P00918",2
"SERPINC1",">sp|P01008|ANT3_HUMAN Antithrombin-III OS=Homo sapiens GN=SERPINC1 PE=1 SV=1","SERPINC1","P01008",24
"SERPINA1",">sp|P01009|A1AT_HUMAN Alpha-1-antitrypsin OS=Homo sapiens GN=SERPINA1 PE=1 SV=3","SERPINA1","P01009",18
"SERPINA3",">sp|P01011|AACT_HUMAN Alpha-1-antichymotrypsin OS=Homo sapiens GN=SERPINA3 PE=1 SV=2","SERPINA3","P01011",26
"AGT",">sp|P01019|ANGT_HUMAN Angiotensinogen OS=Homo sapiens GN=AGT PE=1 SV=1","AGT","P01019",15
"A2M",">sp|P01023|A2MG_HUMAN Alpha-2-macroglobulin OS=Homo sapiens GN=A2M PE=1 SV=3","A2M","P01023",102
"C3",">sp|P01024|CO3_HUMAN Complement C3 OS=Homo sapiens GN=C3 PE=1 SV=2","C3","P01024",144
"C5",">sp|P01031|CO5_HUMAN Complement C5 OS=Homo sapiens GN=C5 PE=1 SV=4","C5","P01031",70
"TIMP1",">sp|P01033|TIMP1_HUMAN Metalloproteinase inhibitor 1 OS=Homo sapiens GN=TIMP1 PE=1 SV=1","TIMP1","P01033",2
"CST3",">sp|P01034|CYTC_HUMAN Cystatin-C OS=Homo sapiens GN=CST3 PE=1 SV=1","CST3","P01034",5
"KNG1",">sp|P01042|KNG1_HUMAN Kininogen-1 OS=Homo sapiens GN=KNG1 PE=1 SV=2","KNG1","P01042",27
"IGJ",">sp|P01591|IGJ_HUMAN Immunoglobulin J chain OS=Homo sapiens GN=IGJ PE=1 SV=4","IGJ","P01591",7
"IGKV4-1",">sp|P01625|KV402_HUMAN Ig kappa chain V-IV region Len OS=Homo sapiens PE=1 SV=2;>sp|P06312|KV401_HUMAN Ig kappa chain V-IV region (Fragment) OS=Homo sapiens GN=IGKV4-1 PE=4 SV=1;>sp|P06313|KV403_HUMAN Ig kappa chain V-IV region JI OS=Homo sapiens PE=4 SV=1;>sp|P06314|KV404_HUMAN Ig kappa chain V-IV region B17 OS=Homo sapiens PE=2 SV=1","IGKV4-1","P01625",3
"PIGR",">sp|P01833|PIGR_HUMAN Polymeric immunoglobulin receptor OS=Homo sapiens GN=PIGR PE=1 SV=4","PIGR","P01833",2
"IGKC",">sp|P01834|IGKC_HUMAN Ig kappa chain C region OS=Homo sapiens GN=IGKC PE=1 SV=1","IGKC","P01834",7
"IGHG1",">sp|P01857|IGHG1_HUMAN Ig gamma-1 chain C region OS=Homo sapiens GN=IGHG1 PE=1 SV=1","IGHG1","P01857",17
"IGHG3",">sp|P01860|IGHG3_HUMAN Ig gamma-3 chain C region OS=Homo sapiens GN=IGHG3 PE=1 SV=2","IGHG3","P01860",15
"IGHG4",">sp|P01861|IGHG4_HUMAN Ig gamma-4 chain C region OS=Homo sapiens GN=IGHG4 PE=1 SV=1","IGHG4","P01861",9
"IGHM",">sp|P01871|IGHM_HUMAN Ig mu chain C region OS=Homo sapiens GN=IGHM PE=1 SV=3","IGHM","P01871",21
"IGHA1",">sp|P01876|IGHA1_HUMAN Ig alpha-1 chain C region OS=Homo sapiens GN=IGHA1 PE=1 SV=2","IGHA1","P01876",13
"IGHA2",">sp|P01877|IGHA2_HUMAN Ig alpha-2 chain C region OS=Homo sapiens GN=IGHA2 PE=1 SV=3","IGHA2","P01877",11
"IGHD",">sp|P01880|IGHD_HUMAN Ig delta chain C region OS=Homo sapiens GN=IGHD PE=1 SV=2","IGHD","P01880",8
"HBD",">sp|P02042|HBD_HUMAN Hemoglobin subunit delta OS=Homo sapiens GN=HBD PE=1 SV=2","HBD","P02042",8
"APOA1",">sp|P02647|APOA1_HUMAN Apolipoprotein A-I OS=Homo sapiens GN=APOA1 PE=1 SV=1","APOA1","P02647",52
"APOE",">sp|P02649|APOE_HUMAN Apolipoprotein E OS=Homo sapiens GN=APOE PE=1 SV=1","APOE","P02649",22
"APOA2",">sp|P02652|APOA2_HUMAN Apolipoprotein A-II OS=Homo sapiens GN=APOA2 PE=1 SV=1","APOA2","P02652",9
"APOC1",">sp|P02654|APOC1_HUMAN Apolipoprotein C-I OS=Homo sapiens GN=APOC1 PE=1 SV=1","APOC1","P02654",4
"APOC2",">sp|P02655|APOC2_HUMAN Apolipoprotein C-II OS=Homo sapiens GN=APOC2 PE=1 SV=1","APOC2","P02655",4
"APOC3",">sp|P02656|APOC3_HUMAN Apolipoprotein C-III OS=Homo sapiens GN=APOC3 PE=1 SV=1","APOC3","P02656",3
"FGA",">sp|P02671|FIBA_HUMAN Fibrinogen alpha chain OS=Homo sapiens GN=FGA PE=1 SV=2","FGA","P02671",20
"FGB",">sp|P02675|FIBB_HUMAN Fibrinogen beta chain OS=Homo sapiens GN=FGB PE=1 SV=2","FGB","P02675",16
"FGG",">sp|P02679|FIBG_HUMAN Fibrinogen gamma chain OS=Homo sapiens GN=FGG PE=1 SV=3","FGG","P02679",11
"CRP",">sp|P02741|CRP_HUMAN C-reactive protein OS=Homo sapiens GN=CRP PE=1 SV=1","CRP","P02741",6
"APCS",">sp|P02743|SAMP_HUMAN Serum amyloid P-component OS=Homo sapiens GN=APCS PE=1 SV=2","APCS","P02743",7
"C1QA",">sp|P02745|C1QA_HUMAN Complement C1q subcomponent subunit A OS=Homo sapiens GN=C1QA PE=1 SV=2","C1QA","P02745",4
"C1QB",">sp|P02746|C1QB_HUMAN Complement C1q subcomponent subunit B OS=Homo sapiens GN=C1QB PE=1 SV=3","C1QB","P02746",7
"C1QC",">sp|P02747|C1QC_HUMAN Complement C1q subcomponent subunit C OS=Homo sapiens GN=C1QC PE=1 SV=3","C1QC","P02747",4
"C9",">sp|P02748|CO9_HUMAN Complement component C9 OS=Homo sapiens GN=C9 PE=1 SV=2","C9","P02748",23
"APOH",">sp|P02749|APOH_HUMAN Beta-2-glycoprotein 1 OS=Homo sapiens GN=APOH PE=1 SV=3","APOH","P02749",16
"LRG1",">sp|P02750|A2GL_HUMAN Leucine-rich alpha-2-glycoprotein OS=Homo sapiens GN=LRG1 PE=1 SV=2","LRG1","P02750",10
"FN1",">sp|P02751|FINC_HUMAN Fibronectin OS=Homo sapiens GN=FN1 PE=1 SV=4","FN1","P02751",75
"RBP4",">sp|P02753|RET4_HUMAN Retinol-binding protein 4 OS=Homo sapiens GN=RBP4 PE=1 SV=3","RBP4","P02753",10
"AMBP",">sp|P02760|AMBP_HUMAN Protein AMBP OS=Homo sapiens GN=AMBP PE=1 SV=1","AMBP","P02760",16
"ORM1",">sp|P02763|A1AG1_HUMAN Alpha-1-acid glycoprotein 1 OS=Homo sapiens GN=ORM1 PE=1 SV=1","ORM1","P02763",13
"AHSG",">sp|P02765|FETUA_HUMAN Alpha-2-HS-glycoprotein OS=Homo sapiens GN=AHSG PE=1 SV=1","AHSG","P02765",12
"TTR",">sp|P02766|TTHY_HUMAN Transthyretin OS=Homo sapiens GN=TTR PE=1 SV=1","TTR","P02766",11
"AFP",">sp|P02771|FETA_HUMAN Alpha-fetoprotein OS=Homo sapiens GN=AFP PE=1 SV=1","AFP","P02771",35
"GC",">sp|P02774|VTDB_HUMAN Vitamin D-binding protein OS=Homo sapiens GN=GC PE=1 SV=1","GC","P02774",35
"PPBP",">sp|P02775|CXCL7_HUMAN Platelet basic protein OS=Homo sapiens GN=PPBP PE=1 SV=3","PPBP","P02775",5
"TF",">sp|P02787|TRFE_HUMAN Serotransferrin OS=Homo sapiens GN=TF PE=1 SV=3","TF","P02787",38
"HPX",">sp|P02790|HEMO_HUMAN Hemopexin OS=Homo sapiens GN=HPX PE=1 SV=2","HPX","P02790",31
"FTL",">sp|P02792|FRIL_HUMAN Ferritin light chain OS=Homo sapiens GN=FTL PE=1 SV=2","FTL","P02792",4
"PRH1",">sp|P02810|PRPC_HUMAN Salivary acidic proline-rich phosphoprotein 1/2 OS=Homo sapiens GN=PRH1 PE=1 SV=2","PRH1","P02810",2
"KLKB1",">sp|P03952|KLKB1_HUMAN Plasma kallikrein OS=Homo sapiens GN=KLKB1 PE=1 SV=1","KLKB1","P03952",25
"C4BPA",">sp|P04003|C4BPA_HUMAN C4b-binding protein alpha chain OS=Homo sapiens GN=C4BPA PE=1 SV=2","C4BPA","P04003",14
"VTN",">sp|P04004|VTNC_HUMAN Vitronectin OS=Homo sapiens GN=VTN PE=1 SV=1","VTN","P04004",14
"PROC",">sp|P04070|PROC_HUMAN Vitamin K-dependent protein C OS=Homo sapiens GN=PROC PE=1 SV=1","PROC","P04070",4
"APOB",">sp|P04114|APOB_HUMAN Apolipoprotein B-100 OS=Homo sapiens GN=APOB PE=1 SV=2","APOB","P04114",162
"LCAT",">sp|P04180|LCAT_HUMAN Phosphatidylcholine-sterol acyltransferase OS=Homo sapiens GN=LCAT PE=1 SV=1","LCAT","P04180",9
"HRG",">sp|P04196|HRG_HUMAN Histidine-rich glycoprotein OS=Homo sapiens GN=HRG PE=1 SV=1","HRG","P04196",18
"A1BG",">sp|P04217|A1BG_HUMAN Alpha-1B-glycoprotein OS=Homo sapiens GN=A1BG PE=1 SV=4","A1BG","P04217",16
"VWF",">sp|P04275|VWF_HUMAN von Willebrand factor OS=Homo sapiens GN=VWF PE=1 SV=4","VWF","P04275",76
"SHBG",">sp|P04278|SHBG_HUMAN Sex hormone-binding globulin OS=Homo sapiens GN=SHBG PE=1 SV=2","SHBG","P04278",11
"ALDOB",">sp|P05062|ALDOB_HUMAN Fructose-bisphosphate aldolase B OS=Homo sapiens GN=ALDOB PE=1 SV=2","ALDOB","P05062",6
"APOD",">sp|P05090|APOD_HUMAN Apolipoprotein D OS=Homo sapiens GN=APOD PE=1 SV=1","APOD","P05090",7
"SERPING1",">sp|P05155|IC1_HUMAN Plasma protease C1 inhibitor OS=Homo sapiens GN=SERPING1 PE=1 SV=2","SERPING1","P05155",21
"CFI",">sp|P05156|CFAI_HUMAN Complement factor I OS=Homo sapiens GN=CFI PE=1 SV=2","CFI","P05156",22
"F13B",">sp|P05160|F13B_HUMAN Coagulation factor XIII B chain OS=Homo sapiens GN=F13B PE=1 SV=3","F13B","P05160",18
"ICAM1",">sp|P05362|ICAM1_HUMAN Intercellular adhesion molecule 1 OS=Homo sapiens GN=ICAM1 PE=1 SV=2","ICAM1","P05362",6
"CLEC3B",">sp|P05452|TETN_HUMAN Tetranectin OS=Homo sapiens GN=CLEC3B PE=1 SV=3","CLEC3B","P05452",10
"SERPINA7",">sp|P05543|THBG_HUMAN Thyroxine-binding globulin OS=Homo sapiens GN=SERPINA7 PE=1 SV=2","SERPINA7","P05543",18
"SERPIND1",">sp|P05546|HEP2_HUMAN Heparin cofactor 2 OS=Homo sapiens GN=SERPIND1 PE=1 SV=3","SERPIND1","P05546",23
"BCHE",">sp|P06276|CHLE_HUMAN Cholinesterase OS=Homo sapiens GN=BCHE PE=1 SV=1","BCHE","P06276",7
"GSN",">sp|P06396|GELS_HUMAN Gelsolin OS=Homo sapiens GN=GSN PE=1 SV=1","GSN","P06396",36
"C2",">sp|P06681|CO2_HUMAN Complement C2 OS=Homo sapiens GN=C2 PE=1 SV=2","C2","P06681",27
"S100A9",">sp|P06702|S10A9_HUMAN Protein S100-A9 OS=Homo sapiens GN=S100A9 PE=1 SV=1","S100A9","P06702",4
"APOA4",">sp|P06727|APOA4_HUMAN Apolipoprotein A-IV OS=Homo sapiens GN=APOA4 PE=1 SV=3","APOA4","P06727",39
"PROS1",">sp|P07225|PROS_HUMAN Vitamin K-dependent protein S OS=Homo sapiens GN=PROS1 PE=1 SV=1","PROS1","P07225",13
"CSF1R",">sp|P07333|CSF1R_HUMAN Macrophage colony-stimulating factor 1 receptor OS=Homo sapiens GN=CSF1R PE=1 SV=2","CSF1R","P07333",4
"C8A",">sp|P07357|CO8A_HUMAN Complement component C8 alpha chain OS=Homo sapiens GN=C8A PE=1 SV=2","C8A","P07357",17
"C8B",">sp|P07358|CO8B_HUMAN Complement component C8 beta chain OS=Homo sapiens GN=C8B PE=1 SV=3","C8B","P07358",26
"GP1BA",">sp|P07359|GP1BA_HUMAN Platelet glycoprotein Ib alpha chain OS=Homo sapiens GN=GP1BA PE=1 SV=2","GP1BA","P07359",5
"C8G",">sp|P07360|CO8G_HUMAN Complement component C8 gamma chain OS=Homo sapiens GN=C8G PE=1 SV=3","C8G","P07360",10
"RNASE1",">sp|P07998|RNAS1_HUMAN Ribonuclease pancreatic OS=Homo sapiens GN=RNASE1 PE=1 SV=4","RNASE1","P07998",2
